id,postal_code,city_id,last_updated_at
164,33068,385,12/13/2024
165,33134,102,12/13/2024
166,33142,296,12/13/2024
167,33161,340,12/13/2024
168,33178,296,12/13/2024
169,33180,296,12/13/2024
170,33311,154,12/13/2024
171,33317,381,12/13/2024
172,33319,473,12/13/2024
173,33407,515,12/13/2024
174,33433,43,12/13/2024
175,33437,48,12/13/2024
176,33445,119,12/13/2024
177,33458,222,12/13/2024
178,33614,474,12/13/2024
179,33710,430,12/13/2024
180,33801,239,12/13/2024
181,34741,228,12/13/2024
182,34952,388,12/13/2024
183,35244,206,12/13/2024
184,35401,492,12/13/2024
185,35601,117,12/13/2024
186,35630,152,12/13/2024
187,35810,210,12/13/2024
188,36116,311,12/13/2024
189,36608,307,12/13/2024
190,36830,24,12/13/2024
191,37042,86,12/13/2024
192,37064,157,12/13/2024
193,37075,196,12/13/2024
194,37087,252,12/13/2024
195,37130,318,12/13/2024
196,37167,459,12/13/2024
197,37211,324,12/13/2024
198,37421,77,12/13/2024
199,37604,220,12/13/2024
200,37620,52,12/13/2024
201,37918,229,12/13/2024
202,38109,290,12/13/2024
203,38134,31,12/13/2024
204,38301,216,12/13/2024
205,38401,94,12/13/2024
206,38671,461,12/13/2024
207,39212,216,12/13/2024
208,39401,192,12/13/2024
209,39503,184,12/13/2024
210,40214,268,12/13/2024
211,40324,166,12/13/2024
212,40475,408,12/13/2024
213,41042,152,12/13/2024
214,42071,319,12/13/2024
215,42104,47,12/13/2024
216,42301,358,12/13/2024
217,42420,195,12/13/2024
218,43017,127,12/13/2024
219,43055,331,12/13/2024
220,43123,183,12/13/2024
221,43130,242,12/13/2024
222,43229,95,12/13/2024
223,43302,282,12/13/2024
224,43402,47,12/13/2024
225,43615,486,12/13/2024
226,44035,141,12/13/2024
227,44052,266,12/13/2024
228,44060,291,12/13/2024
229,44105,87,12/13/2024
230,44107,241,12/13/2024
231,44134,364,12/13/2024
232,44221,109,12/13/2024
233,44240,226,12/13/2024
234,44256,288,12/13/2024
235,44312,3,12/13/2024
236,45011,188,12/13/2024
237,45014,148,12/13/2024
238,45040,285,12/13/2024
239,45231,84,12/13/2024
240,45373,489,12/13/2024
241,45503,465,12/13/2024
242,46060,334,12/13/2024
243,46142,181,12/13/2024
244,46203,212,12/13/2024
245,46226,248,12/13/2024
246,46350,232,12/13/2024
247,46368,389,12/13/2024
248,46514,139,12/13/2024
249,46544,303,12/13/2024
250,46614,460,12/13/2024
251,47150,325,12/13/2024
252,47201,95,12/13/2024
253,47362,328,12/13/2024
254,47374,408,12/13/2024
255,47401,42,12/13/2024
256,47905,234,12/13/2024
257,48066,419,12/13/2024
258,48073,422,12/13/2024
259,48104,12,12/13/2024
260,48126,115,12/13/2024
261,48127,116,12/13/2024
262,48146,256,12/13/2024
263,48180,475,12/13/2024
264,48183,488,12/13/2024
265,48185,517,12/13/2024
266,48187,65,12/13/2024
267,48205,124,12/13/2024
268,48227,124,12/13/2024
269,48234,124,12/13/2024
270,48237,342,12/13/2024
271,48307,412,12/13/2024
272,48310,466,12/13/2024
273,48601,424,12/13/2024
274,48640,298,12/13/2024
275,48858,316,12/13/2024
276,48911,243,12/13/2024
277,49201,216,12/13/2024
278,49423,202,12/13/2024
279,49505,174,12/13/2024
280,50315,122,12/13/2024
281,50322,495,12/13/2024
282,50701,508,12/13/2024
283,52001,128,12/13/2024
284,52240,214,12/13/2024
285,52302,282,12/13/2024
286,52402,71,12/13/2024
287,52601,61,12/13/2024
288,53081,454,12/13/2024
289,53132,157,12/13/2024
290,53142,225,12/13/2024
291,53186,510,12/13/2024
292,53209,300,12/13/2024
293,53214,513,12/13/2024
294,53711,273,12/13/2024
295,54302,178,12/13/2024
296,54401,511,12/13/2024
297,54601,230,12/13/2024
298,54703,133,12/13/2024
299,54880,471,12/13/2024
300,54915,16,12/13/2024
301,55016,106,12/13/2024
302,55044,240,12/13/2024
303,55106,428,12/13/2024
304,55113,419,12/13/2024
305,55122,130,12/13/2024
306,55124,15,12/13/2024
307,55125,524,12/13/2024
308,55369,279,12/13/2024
309,55407,301,12/13/2024
310,55433,100,12/13/2024
311,55901,411,12/13/2024
312,56301,426,12/13/2024
313,56560,312,12/13/2024
314,57103,457,12/13/2024
315,57401,1,12/13/2024
316,57701,397,12/13/2024
317,58103,149,12/13/2024
318,59102,41,12/13/2024
319,59405,176,12/13/2024
320,59601,193,12/13/2024
321,59715,49,12/13/2024
322,59801,305,12/13/2024
323,60004,18,12/13/2024
324,60016,123,12/13/2024
325,60025,170,12/13/2024
326,60035,200,12/13/2024
327,60067,360,12/13/2024
328,60068,362,12/13/2024
329,60076,458,12/13/2024
330,60089,58,12/13/2024
331,60090,519,12/13/2024
332,60098,526,12/13/2024
333,60126,140,12/13/2024
334,60174,425,12/13/2024
335,60188,67,12/13/2024
336,60201,146,12/13/2024
337,60302,342,12/13/2024
338,60423,156,12/13/2024
339,60440,45,12/13/2024
340,60441,418,12/13/2024
341,60462,353,12/13/2024
342,60477,485,12/13/2024
343,60505,25,12/13/2024
344,60540,322,12/13/2024
345,60543,356,12/13/2024
346,60610,81,12/13/2024
347,60623,81,12/13/2024
348,60653,81,12/13/2024
349,61032,158,12/13/2024
350,61107,414,12/13/2024
351,61604,372,12/13/2024
352,61701,42,12/13/2024
353,61761,336,12/13/2024
354,61821,72,12/13/2024
355,61832,112,12/13/2024
356,62301,394,12/13/2024
357,62521,117,12/13/2024
358,63116,427,12/13/2024
359,63122,227,12/13/2024
360,63301,425,12/13/2024
361,63376,429,12/13/2024
362,64055,211,12/13/2024
363,64118,168,12/13/2024
364,65109,219,12/13/2024
365,65203,94,12/13/2024
366,65807,465,12/13/2024
367,66062,347,12/13/2024
368,66212,357,12/13/2024
369,66502,276,12/13/2024
370,67212,521,12/13/2024
371,67846,163,12/13/2024
372,68025,159,12/13/2024
373,68104,349,12/13/2024
374,68701,335,12/13/2024
375,68801,172,12/13/2024
376,70065,224,12/13/2024
377,70506,234,12/13/2024
378,70601,236,12/13/2024
379,71111,46,12/13/2024
380,71203,309,12/13/2024
381,71603,378,12/13/2024
382,71854,478,12/13/2024
383,71901,207,12/13/2024
384,72032,99,12/13/2024
385,72209,259,12/13/2024
386,72401,221,12/13/2024
387,72701,151,12/13/2024
388,72756,416,12/13/2024
389,72762,464,12/13/2024
390,73034,135,12/13/2024
391,73071,337,12/13/2024
392,73120,346,12/13/2024
393,73505,249,12/13/2024
394,74012,53,12/13/2024
395,74133,491,12/13/2024
396,74403,321,12/13/2024
397,75002,6,12/13/2024
398,75007,68,12/13/2024
399,75019,101,12/13/2024
400,75023,380,12/13/2024
401,75034,161,12/13/2024
402,75043,164,12/13/2024
403,75051,173,12/13/2024
404,75056,480,12/13/2024
405,75061,215,12/13/2024
406,75080,407,12/13/2024
407,75081,110,12/13/2024
408,75104,70,12/13/2024
409,75150,295,12/13/2024
410,75217,110,12/13/2024
411,75220,110,12/13/2024
412,75701,494,12/13/2024
413,76017,17,12/13/2024
414,76021,35,12/13/2024
415,76051,175,12/13/2024
416,76063,277,12/13/2024
417,76106,155,12/13/2024
418,76117,187,12/13/2024
419,76248,223,12/13/2024
420,76706,503,12/13/2024
421,76903,434,12/13/2024
422,77036,208,12/13/2024
423,77041,208,12/13/2024
424,77070,208,12/13/2024
425,77095,208,12/13/2024
426,77301,98,12/13/2024
427,77340,210,12/13/2024
428,77489,306,12/13/2024
429,77506,365,12/13/2024
430,77520,33,12/13/2024
431,77536,118,12/13/2024
432,77571,232,12/13/2024
433,77573,251,12/13/2024
434,77581,369,12/13/2024
435,77590,479,12/13/2024
436,77642,386,12/13/2024
437,77705,34,12/13/2024
438,77803,56,12/13/2024
439,77840,92,12/13/2024
440,78041,244,12/13/2024
441,78207,435,12/13/2024
442,78415,104,12/13/2024
443,78501,286,12/13/2024
444,78521,55,12/13/2024
445,78539,134,12/13/2024
446,78550,190,12/13/2024
447,78577,374,12/13/2024
448,78664,421,12/13/2024
449,78666,443,12/13/2024
450,78745,26,12/13/2024
451,79109,9,12/13/2024
452,79424,271,12/13/2024
453,79605,2,12/13/2024
454,79762,345,12/13/2024
455,79907,138,12/13/2024
456,80004,19,12/13/2024
457,80013,25,12/13/2024
458,80020,54,12/13/2024
459,80022,96,12/13/2024
460,80027,268,12/13/2024
461,80112,143,12/13/2024
462,80122,260,12/13/2024
463,80134,363,12/13/2024
464,80219,121,12/13/2024
465,80229,482,12/13/2024
466,80501,264,12/13/2024
467,80525,153,12/13/2024
468,80538,269,12/13/2024
469,80634,177,12/13/2024
470,80906,93,12/13/2024
471,81001,393,12/13/2024
472,82001,80,12/13/2024
473,83201,383,12/13/2024
474,83301,493,12/13/2024
475,83501,255,12/13/2024
476,83605,62,12/13/2024
477,83642,293,12/13/2024
478,83704,44,12/13/2024
479,84020,126,12/13/2024
480,84041,250,12/13/2024
481,84043,253,12/13/2024
482,84057,352,12/13/2024
483,84062,382,12/13/2024
484,84084,514,12/13/2024
485,84106,433,12/13/2024
486,84107,319,12/13/2024
487,84321,262,12/13/2024
488,84604,392,12/13/2024
489,85023,376,12/13/2024
490,85204,294,12/13/2024
491,85224,73,12/13/2024
492,85234,167,12/13/2024
493,85254,452,12/13/2024
494,85281,477,12/13/2024
495,85301,169,12/13/2024
496,85323,27,12/13/2024
497,85345,372,12/13/2024
498,85364,531,12/13/2024
499,85635,456,12/13/2024
500,85705,490,12/13/2024
501,86442,59,12/13/2024
502,87105,4,12/13/2024
503,87124,409,12/13/2024
504,87401,150,12/13/2024
505,87505,450,12/13/2024
506,88001,245,12/13/2024
507,88101,90,12/13/2024
508,88220,66,12/13/2024
509,89015,195,12/13/2024
510,89031,339,12/13/2024
511,89115,246,12/13/2024
512,89431,462,12/13/2024
513,89502,404,12/13/2024
514,90004,267,12/13/2024
515,90008,267,12/13/2024
516,90032,267,12/13/2024
517,90036,267,12/13/2024
518,90045,267,12/13/2024
519,90049,267,12/13/2024
520,90278,402,12/13/2024
521,90301,213,12/13/2024
522,90503,487,12/13/2024
523,90604,520,12/13/2024
524,90640,310,12/13/2024
525,90660,377,12/13/2024
526,90712,241,12/13/2024
527,90805,263,12/13/2024
528,91104,365,12/13/2024
529,91360,483,12/13/2024
530,91505,60,12/13/2024
531,91730,396,12/13/2024
532,91761,350,12/13/2024
533,91767,384,12/13/2024
534,91776,440,12/13/2024
535,91911,83,12/13/2024
536,91941,231,12/13/2024
537,92020,137,12/13/2024
538,92024,438,12/13/2024
539,92025,144,12/13/2024
540,92037,438,12/13/2024
541,92054,344,12/13/2024
542,92105,438,12/13/2024
543,92236,91,12/13/2024
544,92253,233,12/13/2024
545,92307,15,12/13/2024
546,92345,197,12/13/2024
547,92374,400,12/13/2024
548,92399,530,12/13/2024
549,92404,436,12/13/2024
550,92503,410,12/13/2024
551,92530,237,12/13/2024
552,92553,313,12/13/2024
553,92563,320,12/13/2024
554,92592,476,12/13/2024
555,92627,105,12/13/2024
556,92630,238,12/13/2024
557,92646,209,12/13/2024
558,92672,437,12/13/2024
559,92677,235,12/13/2024
560,92683,518,12/13/2024
561,92691,304,12/13/2024
562,92704,447,12/13/2024
563,92804,10,12/13/2024
564,93010,63,12/13/2024
565,93030,359,12/13/2024
566,93101,448,12/13/2024
567,93277,502,12/13/2024
568,93309,28,12/13/2024
569,93405,442,12/13/2024
570,93454,451,12/13/2024
571,93534,242,12/13/2024
572,93727,160,12/13/2024
573,93905,432,12/13/2024
574,94061,403,12/13/2024
575,94086,470,12/13/2024
576,94109,439,12/13/2024
577,94110,439,12/13/2024
578,94122,439,12/13/2024
579,94403,444,12/13/2024
580,94509,13,12/13/2024
581,94513,50,12/13/2024
582,94521,97,12/13/2024
583,94526,112,12/13/2024
584,94533,148,12/13/2024
585,94568,127,12/13/2024
586,94591,498,12/13/2024
587,94601,343,12/13/2024
588,95037,314,12/13/2024
589,95051,449,12/13/2024
590,95123,441,12/13/2024
591,95207,467,12/13/2024
592,95240,261,12/13/2024
593,95336,278,12/13/2024
594,95351,308,12/13/2024
595,95610,85,12/13/2024
596,95616,113,12/13/2024
597,95661,419,12/13/2024
598,95687,497,12/13/2024
599,95695,525,12/13/2024
600,95823,423,12/13/2024
601,95928,82,12/13/2024
602,96003,399,12/13/2024
603,97030,182,12/13/2024
604,97123,201,12/13/2024
605,97206,390,12/13/2024
606,97224,484,12/13/2024
607,97301,431,12/13/2024
608,97405,145,12/13/2024
609,97477,465,12/13/2024
610,97504,287,12/13/2024
611,97756,401,12/13/2024
612,98002,24,12/13/2024
613,98006,37,12/13/2024
614,98026,136,12/13/2024
615,98031,226,12/13/2024
616,98042,107,12/13/2024
617,98052,401,12/13/2024
618,98059,405,12/13/2024
619,98103,453,12/13/2024
620,98105,453,12/13/2024
621,98115,453,12/13/2024
622,98198,122,12/13/2024
623,98208,147,12/13/2024
624,98226,38,12/13/2024
625,98270,284,12/13/2024
626,98502,348,12/13/2024
627,98632,265,12/13/2024
628,98661,499,12/13/2024
629,99207,463,12/13/2024
630,99301,366,12/13/2024
