order_id,order_number,order_date,customer_id,discount,last_updated_at
179,CA-2018-113929,6/16/2018,148,0.07,12/13/2024
180,CA-2018-113964,9/23/2018,402,0.2,12/13/2024
181,CA-2018-114125,7/9/2018,299,0.07,12/13/2024
182,CA-2018-114181,5/10/2018,18,0.35,12/13/2024
183,CA-2018-114195,11/1/2018,246,0.53,12/13/2024
184,CA-2018-114251,11/5/2018,496,0.3,12/13/2024
185,CA-2018-114314,10/11/2018,197,0,12/13/2024
186,CA-2018-114321,8/20/2018,557,0,12/13/2024
187,CA-2018-114335,9/28/2018,789,0.2,12/13/2024
188,CA-2018-114433,5/13/2018,571,0,12/13/2024
189,CA-2018-114510,3/14/2018,360,0.08,12/13/2024
190,CA-2018-114517,12/23/2018,752,0.2,12/13/2024
191,CA-2018-114643,6/13/2018,287,0,12/13/2024
192,CA-2018-114790,3/11/2018,287,0,12/13/2024
193,CA-2018-115049,9/26/2018,526,0.2,12/13/2024
194,CA-2018-115056,5/2/2018,48,0.2,12/13/2024
195,CA-2018-115084,10/18/2018,474,0,12/13/2024
196,CA-2018-115133,9/26/2018,188,0.2,12/13/2024
197,CA-2018-115161,1/31/2018,455,0.15,12/13/2024
198,CA-2018-115259,8/25/2018,630,0.2,12/13/2024
199,CA-2018-115336,11/18/2018,11,0.8,12/13/2024
200,CA-2018-115357,8/6/2018,641,0,12/13/2024
201,CA-2018-115791,1/16/2018,220,0.38,12/13/2024
202,CA-2018-115812,6/9/2018,89,0.11,12/13/2024
203,CA-2018-115889,11/2/2018,693,0.1,12/13/2024
204,CA-2018-115973,11/24/2018,565,0.2,12/13/2024
205,CA-2018-115980,7/15/2018,787,0,12/13/2024
206,CA-2018-116190,7/26/2018,689,0,12/13/2024
207,CA-2018-116239,3/4/2018,153,0,12/13/2024
208,CA-2018-116246,9/12/2018,482,0.1,12/13/2024
209,CA-2018-116407,11/15/2018,359,0.2,12/13/2024
210,CA-2018-116568,12/14/2018,94,0.2,12/13/2024
211,CA-2018-116666,5/8/2018,445,0.4,12/13/2024
212,CA-2018-116673,12/15/2018,398,0,12/13/2024
213,CA-2018-116757,6/30/2018,542,0.2,12/13/2024
214,CA-2018-116785,4/26/2018,510,0,12/13/2024
215,CA-2018-116834,10/11/2018,234,0,12/13/2024
216,CA-2018-116904,9/23/2018,670,0,12/13/2024
217,CA-2018-116932,7/21/2018,500,0.13,12/13/2024
218,CA-2018-117016,3/4/2018,670,0.2,12/13/2024
219,CA-2018-117317,10/19/2018,363,0,12/13/2024
220,CA-2018-117345,8/1/2018,79,0.2,12/13/2024
221,CA-2018-117429,10/7/2018,536,0.2,12/13/2024
222,CA-2018-117464,7/22/2018,571,0.1,12/13/2024
223,CA-2018-117478,9/21/2018,461,0.7,12/13/2024
224,CA-2018-117639,5/21/2018,548,0,12/13/2024
225,CA-2018-117709,5/4/2018,600,0,12/13/2024
226,CA-2018-117765,9/7/2018,624,0,12/13/2024
227,CA-2018-118192,1/13/2018,526,0.45,12/13/2024
228,CA-2018-118276,12/29/2018,507,0.6,12/13/2024
229,CA-2018-118304,4/29/2018,430,0,12/13/2024
230,CA-2018-118339,3/17/2018,96,0,12/13/2024
231,CA-2018-118962,8/5/2018,175,0.07,12/13/2024
232,CA-2018-118976,4/28/2018,550,0,12/13/2024
233,CA-2018-119032,11/27/2018,540,0,12/13/2024
234,CA-2018-119144,11/16/2018,353,0.12,12/13/2024
235,CA-2018-119151,11/25/2018,535,0.1,12/13/2024
236,CA-2018-119172,5/11/2018,319,0.5,12/13/2024
237,CA-2018-119375,11/17/2018,790,0,12/13/2024
238,CA-2018-119466,12/15/2018,710,0.6,12/13/2024
239,CA-2018-119529,11/3/2018,226,0,12/13/2024
240,CA-2018-119977,10/8/2018,228,0,12/13/2024
241,CA-2018-120096,7/4/2018,427,0.2,12/13/2024
242,CA-2018-120243,12/27/2018,59,0,12/13/2024
243,CA-2018-120278,11/7/2018,537,0,12/13/2024
244,CA-2018-120411,9/20/2018,666,0.25,12/13/2024
245,CA-2018-120432,8/24/2018,245,0,12/13/2024
246,CA-2018-120474,12/1/2018,654,0,12/13/2024
247,CA-2018-120544,11/23/2018,714,0.53,12/13/2024
248,CA-2018-120670,11/2/2018,383,0.2,12/13/2024
249,CA-2018-120768,12/19/2018,339,0,12/13/2024
250,CA-2018-120775,10/3/2018,637,0.4,12/13/2024
251,CA-2018-120838,3/23/2018,604,0.1,12/13/2024
252,CA-2018-120852,12/20/2018,788,0.5,12/13/2024
253,CA-2018-120887,9/27/2018,763,0,12/13/2024
254,CA-2018-120950,11/6/2018,293,0,12/13/2024
255,CA-2018-121006,11/10/2018,668,0,12/13/2024
256,CA-2018-121167,11/28/2018,530,0.2,12/13/2024
257,CA-2018-121286,11/4/2018,580,0.2,12/13/2024
258,CA-2018-121573,11/3/2018,690,0.13,12/13/2024
259,CA-2018-121629,11/28/2018,116,0.4,12/13/2024
260,CA-2018-121664,5/6/2018,331,0.2,12/13/2024
261,CA-2018-121727,8/19/2018,379,0.2,12/13/2024
262,CA-2018-121762,2/14/2018,520,0,12/13/2024
263,CA-2018-121769,4/8/2018,408,0.4,12/13/2024
264,CA-2018-122070,4/22/2018,28,0.1,12/13/2024
265,CA-2018-122217,11/24/2018,331,0,12/13/2024
266,CA-2018-122336,4/13/2018,350,0.38,12/13/2024
267,CA-2018-122567,2/16/2018,529,0.8,12/13/2024
268,CA-2018-122588,11/25/2018,49,0,12/13/2024
269,CA-2018-122609,11/12/2018,231,0.4,12/13/2024
270,CA-2018-122679,7/22/2018,10,0,12/13/2024
271,CA-2018-122749,12/3/2018,565,0,12/13/2024
272,CA-2018-122882,9/7/2018,667,0.38,12/13/2024
273,CA-2018-122931,9/29/2018,703,0.27,12/13/2024
274,CA-2018-123064,6/30/2018,619,0.2,12/13/2024
275,CA-2018-123127,9/8/2018,708,0,12/13/2024
276,CA-2018-123225,7/11/2018,529,0.2,12/13/2024
277,CA-2018-123253,8/22/2018,203,0.2,12/13/2024
278,CA-2018-123260,8/26/2018,288,0,12/13/2024
279,CA-2018-123295,7/18/2018,30,0.2,12/13/2024
280,CA-2018-123316,10/13/2018,707,0.2,12/13/2024
281,CA-2018-123323,11/7/2018,462,0.2,12/13/2024
282,CA-2018-123344,9/24/2018,352,0,12/13/2024
283,CA-2018-123400,2/2/2018,251,0.45,12/13/2024
284,CA-2018-123477,1/18/2018,242,0.2,12/13/2024
285,CA-2018-123498,11/7/2018,742,0.5,12/13/2024
286,CA-2018-123855,6/18/2018,494,0.2,12/13/2024
287,CA-2018-123925,12/17/2018,642,0,12/13/2024
288,CA-2018-124023,4/7/2018,596,0,12/13/2024
289,CA-2018-124079,12/13/2018,640,0.45,12/13/2024
290,CA-2018-124247,12/16/2018,694,0.2,12/13/2024
291,CA-2018-124394,10/17/2018,739,0.5,12/13/2024
292,CA-2018-124429,5/27/2018,514,0.1,12/13/2024
293,CA-2018-124464,7/14/2018,716,0,12/13/2024
294,CA-2018-124478,8/8/2018,483,0.02,12/13/2024
295,CA-2018-124513,9/21/2018,699,0,12/13/2024
296,CA-2018-124618,5/2/2018,173,0.2,12/13/2024
297,CA-2018-124646,6/22/2018,241,0,12/13/2024
298,CA-2018-124688,8/27/2018,136,0,12/13/2024
299,CA-2018-124702,11/18/2018,514,0,12/13/2024
300,CA-2018-124709,7/27/2018,314,0,12/13/2024
301,CA-2018-124723,8/5/2018,315,0.3,12/13/2024
302,CA-2018-124730,11/26/2018,476,0.08,12/13/2024
303,CA-2018-124737,8/23/2018,45,0.2,12/13/2024
304,CA-2018-124807,7/12/2018,499,0.2,12/13/2024
305,CA-2018-124856,9/29/2018,458,0,12/13/2024
306,CA-2018-125136,9/28/2018,425,0.2,12/13/2024
307,CA-2018-125150,5/16/2018,614,0.2,12/13/2024
308,CA-2018-125171,9/3/2018,22,0,12/13/2024
309,CA-2018-125514,9/21/2018,93,0,12/13/2024
310,CA-2018-125542,12/5/2018,554,0.2,12/13/2024
311,CA-2018-125556,11/14/2018,521,0,12/13/2024
312,CA-2018-125612,8/3/2018,90,0,12/13/2024
313,CA-2018-125682,11/22/2018,626,0,12/13/2024
314,CA-2018-125731,9/10/2018,153,0.2,12/13/2024
315,CA-2018-125759,2/8/2018,569,0,12/13/2024
316,CA-2018-125829,11/4/2018,788,0.16,12/13/2024
317,CA-2018-125997,9/20/2018,547,0.05,12/13/2024
318,CA-2018-126032,6/23/2018,108,0.2,12/13/2024
319,CA-2018-126193,9/7/2018,715,0.6,12/13/2024
320,CA-2018-126200,8/25/2018,356,0.8,12/13/2024
321,CA-2018-126277,9/13/2018,462,0.7,12/13/2024
322,CA-2018-126333,12/23/2018,500,0.2,12/13/2024
323,CA-2018-126361,8/4/2018,777,0.07,12/13/2024
324,CA-2018-126403,9/9/2018,657,0,12/13/2024
325,CA-2018-126480,9/20/2018,323,0,12/13/2024
326,CA-2018-126522,9/1/2018,477,0,12/13/2024
327,CA-2018-126683,9/29/2018,607,0,12/13/2024
328,CA-2018-126760,7/26/2018,439,0.1,12/13/2024
329,CA-2018-126802,12/29/2018,792,0.6,12/13/2024
330,CA-2018-126907,11/1/2018,703,0.2,12/13/2024
331,CA-2018-126963,6/15/2018,609,0.2,12/13/2024
332,CA-2018-127012,8/11/2018,307,0,12/13/2024
333,CA-2018-127131,11/24/2018,333,0.05,12/13/2024
334,CA-2018-127159,5/12/2018,328,0,12/13/2024
335,CA-2018-127166,5/21/2018,430,0.38,12/13/2024
336,CA-2018-127187,12/4/2018,166,0,12/13/2024
337,CA-2018-127299,9/19/2018,388,0.35,12/13/2024
338,CA-2018-127383,12/31/2018,155,0.2,12/13/2024
339,CA-2018-127446,11/25/2018,490,0.28,12/13/2024
340,CA-2018-127488,9/22/2018,537,0.2,12/13/2024
341,CA-2018-127523,5/11/2018,87,0,12/13/2024
342,CA-2018-127558,11/15/2018,715,0,12/13/2024
343,CA-2018-127586,9/26/2018,179,0,12/13/2024
344,CA-2018-127614,2/11/2018,561,0,12/13/2024
345,CA-2018-127691,7/22/2018,271,0,12/13/2024
346,CA-2018-127859,3/17/2018,616,0.2,12/13/2024
347,CA-2018-127866,7/20/2018,350,0,12/13/2024
348,CA-2018-127936,9/2/2018,153,0,12/13/2024
349,CA-2018-127964,3/3/2018,44,0.13,12/13/2024
350,CA-2018-128055,3/31/2018,1,0.1,12/13/2024
351,CA-2018-128062,11/19/2018,16,0.2,12/13/2024
352,CA-2018-128146,6/21/2018,191,0,12/13/2024
353,CA-2018-128209,11/17/2018,312,0.2,12/13/2024
354,CA-2018-128237,3/25/2018,123,0,12/13/2024
355,CA-2018-128524,11/11/2018,552,0.07,12/13/2024
356,CA-2018-128538,10/11/2018,56,0,12/13/2024
357,CA-2018-128622,11/15/2018,672,0,12/13/2024
358,CA-2018-128839,9/8/2018,770,0,12/13/2024
359,CA-2018-128846,4/7/2018,659,0,12/13/2024
360,CA-2018-128888,11/15/2018,584,0.2,12/13/2024
361,CA-2018-128986,8/3/2018,299,0.2,12/13/2024
362,CA-2018-129091,11/22/2018,618,0,12/13/2024
363,CA-2018-129147,11/2/2018,455,0.5,12/13/2024
364,CA-2018-129168,8/17/2018,418,0.2,12/13/2024
365,CA-2018-129189,7/21/2018,329,0.53,12/13/2024
366,CA-2018-129364,12/8/2018,735,0.26,12/13/2024
367,CA-2018-129574,5/26/2018,234,0,12/13/2024
368,CA-2018-129819,12/13/2018,422,0,12/13/2024
369,CA-2018-129924,7/12/2018,12,0.2,12/13/2024
370,CA-2018-129938,12/15/2018,247,0.3,12/13/2024
371,CA-2018-130092,1/11/2018,721,0,12/13/2024
372,CA-2018-130155,5/19/2018,747,0,12/13/2024
373,CA-2018-130274,5/3/2018,409,0,12/13/2024
374,CA-2018-130421,3/3/2018,668,0.8,12/13/2024
375,CA-2018-130428,3/31/2018,749,0.37,12/13/2024
376,CA-2018-130449,9/6/2018,784,0,12/13/2024
377,CA-2018-130575,12/14/2018,172,0.8,12/13/2024
378,CA-2018-130624,6/21/2018,736,0,12/13/2024
379,CA-2018-130673,5/20/2018,490,0.3,12/13/2024
380,CA-2018-130729,10/24/2018,2,0.2,12/13/2024
381,CA-2018-130813,1/6/2018,475,0,12/13/2024
382,CA-2018-130869,11/17/2018,126,0.2,12/13/2024
383,CA-2018-130918,8/22/2018,401,0.2,12/13/2024
384,CA-2018-130960,12/30/2018,419,0,12/13/2024
385,CA-2018-131002,9/7/2018,738,0,12/13/2024
386,CA-2018-131009,3/1/2018,674,0.33,12/13/2024
387,CA-2018-131051,12/1/2018,760,0,12/13/2024
388,CA-2018-131247,3/30/2018,294,0.15,12/13/2024
389,CA-2018-131310,7/12/2018,153,0.2,12/13/2024
390,CA-2018-131387,4/28/2018,36,0.2,12/13/2024
391,CA-2018-131450,8/8/2018,470,0.1,12/13/2024
392,CA-2018-131527,12/1/2018,736,0.2,12/13/2024
393,CA-2018-131541,7/28/2018,148,0.2,12/13/2024
394,CA-2018-131800,12/30/2018,40,0.1,12/13/2024
395,CA-2018-131905,2/6/2018,560,0,12/13/2024
396,CA-2018-131926,6/1/2018,243,0,12/13/2024
397,CA-2018-131947,9/17/2018,340,0.28,12/13/2024
398,CA-2018-132010,10/13/2018,484,0,12/13/2024
399,CA-2018-132227,11/4/2018,730,0.2,12/13/2024
400,CA-2018-132451,9/26/2018,428,0.1,12/13/2024
401,CA-2018-132500,9/8/2018,315,0,12/13/2024
402,CA-2018-132542,10/6/2018,41,0,12/13/2024
403,CA-2018-132612,6/9/2018,290,0,12/13/2024
404,CA-2018-132787,9/19/2018,495,0,12/13/2024
405,CA-2018-132801,10/7/2018,368,0.2,12/13/2024
406,CA-2018-132864,12/2/2018,440,0.2,12/13/2024
407,CA-2018-132913,12/24/2018,53,0,12/13/2024
408,CA-2018-132962,9/13/2018,392,0.2,12/13/2024
409,CA-2018-132983,4/28/2018,239,0,12/13/2024
410,CA-2018-133158,8/19/2018,242,0.1,12/13/2024
411,CA-2018-133228,4/4/2018,539,0,12/13/2024
412,CA-2018-133270,6/6/2018,94,0,12/13/2024
413,CA-2018-133305,7/11/2018,512,0.1,12/13/2024
414,CA-2018-133354,2/22/2018,664,0,12/13/2024
415,CA-2018-133389,6/22/2018,736,0.7,12/13/2024
416,CA-2018-133424,3/30/2018,223,0,12/13/2024
417,CA-2018-133543,12/22/2018,438,0,12/13/2024
418,CA-2018-133592,12/31/2018,437,0,12/13/2024
419,CA-2018-133634,11/5/2018,713,0,12/13/2024
420,CA-2018-133690,8/3/2018,109,0.35,12/13/2024
421,CA-2018-133704,9/20/2018,484,0.1,12/13/2024
422,CA-2018-133753,6/9/2018,186,0.2,12/13/2024
423,CA-2018-133809,11/18/2018,538,0.55,12/13/2024
424,CA-2018-133830,12/5/2018,648,0,12/13/2024
425,CA-2018-133851,6/9/2018,162,0,12/13/2024
426,CA-2018-133963,5/18/2018,293,0.2,12/13/2024
427,CA-2018-134061,4/29/2018,465,0,12/13/2024
428,CA-2018-134103,1/30/2018,546,0,12/13/2024
429,CA-2018-134215,8/4/2018,520,0,12/13/2024
430,CA-2018-134278,7/6/2018,276,0.2,12/13/2024
431,CA-2018-134313,11/1/2018,619,0.2,12/13/2024
432,CA-2018-134551,12/20/2018,767,0.2,12/13/2024
433,CA-2018-134572,4/20/2018,721,0.27,12/13/2024
434,CA-2018-134621,12/21/2018,235,0.7,12/13/2024
435,CA-2018-134677,10/6/2018,789,0,12/13/2024
436,CA-2018-134726,11/2/2018,729,0.1,12/13/2024
437,CA-2018-135090,11/22/2018,711,0,12/13/2024
438,CA-2018-135405,1/9/2018,541,0.2,12/13/2024
439,CA-2018-135608,12/8/2018,379,0.1,12/13/2024
440,CA-2018-135657,6/3/2018,679,0,12/13/2024
441,CA-2018-135699,8/29/2018,325,0,12/13/2024
442,CA-2018-135755,5/3/2018,556,0.2,12/13/2024
443,CA-2018-135993,5/28/2018,595,0.1,12/13/2024
444,CA-2018-136280,11/29/2018,165,0.2,12/13/2024
445,CA-2018-136336,4/21/2018,197,0,12/13/2024
446,CA-2018-136399,12/16/2018,129,0.1,12/13/2024
447,CA-2018-136567,12/20/2018,611,0,12/13/2024
448,CA-2018-136644,6/16/2018,676,0,12/13/2024
449,CA-2018-136742,4/6/2018,309,0.7,12/13/2024
450,CA-2018-136861,9/5/2018,608,0.2,12/13/2024
451,CA-2018-137092,10/20/2018,473,0.32,12/13/2024
452,CA-2018-137274,3/29/2018,508,0.3,12/13/2024
453,CA-2018-137351,9/30/2018,198,0.2,12/13/2024
454,CA-2018-137575,8/6/2018,741,0,12/13/2024
455,CA-2018-137589,11/3/2018,540,0.2,12/13/2024
456,CA-2018-137911,10/9/2018,100,0.2,12/13/2024
457,CA-2018-138023,8/15/2018,431,0.8,12/13/2024
458,CA-2018-138072,12/30/2018,294,0.2,12/13/2024
459,CA-2018-138100,9/15/2018,1,0,12/13/2024
460,CA-2018-138128,12/9/2018,291,0.3,12/13/2024
461,CA-2018-138177,9/19/2018,560,0.5,12/13/2024
462,CA-2018-138198,7/18/2018,384,0.2,12/13/2024
